Screen Resolution	Browser	OS	Traffic Source	Combination Id	Converted	Returning Visitor	User Language	Country
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Canada
Extra Small	Samsung Internet	Android	direct_traffic	1	No	0	en-gb	Qatar
Small	Firefox Mobile	Android	unknown	2	No	0	en-us	Ukraine
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	Other
Extra Small	Samsung Internet	Android	search_traffic	2	No	0	en-gb	Other
Extra Large	IE	Windows New	unknown	2	No	0	fr-fr	Switzerland
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-gb	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-gb	United Kingdom
Extra Large	Edge	Windows New	unknown	2	No	0	Other	Czech Republic
Extra Large	Edge	Windows New	search_traffic	2	No	0	en-au	Australia
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Opera Mini	Android	search_traffic	1	No	0	en	Europe
